CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),,Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,,Gov't Expenditure % of GDP ,Country,,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
1,Afghanistan,Afghanistan,Asia-Pacific,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Afghanistan,20.0,20.0,7.5,Afganistan ,N/A,Afghanistan,Afghanistan,38.9,$78.7 ,-5.0,1.0,"$2,390",11.7,5.6,13.0,7.8
2,Albania,Albania,Europe,50,30,66.6,55.5,49.8,35.6,89.1,72.1,70.6,70.7,51.1,82.0,82.6,70,70,3.7,Albania,23.0,15.0,18.3,Albania,30.5,Albania,Albania,2.8,$40.7 ,-3.5,2.0,"$14,218",11.7,1.6,"1,107.0",76.0
3,Algeria,Algeria,Middle East and North Africa,167,13,45.8,27.9,29.7,30.1,67.2,57.1,38.6,50.0,51.5,80.1,57.4,30,30,13.8,Algeria,35.0,26.0,37.2,Algeria,37.8,Algeria,Algeria,43.9,$491.5 ,-6.0,0.1,"$11,112",12.8,2.4,"1,125.0",53.1
4,Angola,Angola,Sub-Saharan Africa,139,29,52.6,39.8,25.3,20.6,86.6,86.4,80.0,37.6,53.9,61.2,70.0,30,40,7.5,Angola,25.0,25.0,9.4,Angola,21.3,Angola,Angola,32.9,$215.1 ,-4.0,-1.9,"$6,932",7.7,22.3,"-1,866.0",127.1
5,Argentina,Argentina,Americas,144,27,50.1,35.1,57.9,45.1,73.3,53.0,16.8,55.1,51.0,37.9,60.6,55,60,12.2,Argentina,35.0,25.0,28.6,Argentina,39.6,Argentina,Argentina,45.4,$941.8 ,-10.0,-2.8,"$20,751",11.7,42.0,"4,123.0",103.0
6,Armenia,Armenia,Europe,58,34,65.3,50.4,33.1,50.8,86.9,78.9,75.5,64.9,47.2,77.5,73.6,75,70,5.7,Armenia,22.0,18.0,22.5,Armenia,26.5,Armenia,Armenia,3.0,$39.4 ,-7.6,2.6,"$13,261",20.2,1.2,117.0,62.8
7,Australia,Australia,Asia-Pacific,12,4,77.7,91.7,95.2,87.0,62.5,51.6,52.0,84.6,64.2,83.2,90.0,80,90,2.5,Australia,45.0,30.0,28.7,Australia,40.2,Australia,Australia,25.7,"$1,329.9 ",-2.4,1.5,"$51,680",6.6,0.9,"20,146.0",63.1
8,Austria,Austria,Europe,22,15,73.8,98.4,94.6,82.9,45.5,20.3,71.7,82.3,78.4,82.3,79.2,80,70,2.9,Austria,55.0,25.0,42.4,Austria,51.6,Austria,Austria,8.9,$491.5 ,-6.6,0.4,"$55,218",5.8,1.4,"-17,340.0",85.2
9,Azerbaijan,Azerbaijan,Europe,75,37,61.6,53.6,15.9,28.6,87.7,62.7,99.1,64.6,55.9,74.5,66.6,70,60,9.2,Azerbaijan,25.0,20.0,14.3,Azerbaijan,35.3,Azerbaijan,Azerbaijan,10.1,$145.8 ,-4.3,-0.7,"$14,431",6.3,2.8,507.0,21.4
10,Bahamas,Bahamas,Americas,38,6,68.7,61.1,78.8,64.3,96.5,85.8,67.3,63.3,69.3,79.2,49.0,50,60,18,"Bahamas, The",0.0,0.0,18.7,Bahamas,21.7,Bahamas,Bahamas,0.4,$12.8 ,-16.3,-1.5,"$33,148",14.4,0.0,897.0,68.6
11,Bahrain,Bahrain,Middle East and North Africa,74,4,62.0,65.9,27.4,41.6,99.9,65.5,0.0,60.2,54.9,81.1,83.0,85,80,6,Bahrain,0.0,0.0,3.0,Bahrain,33.9,Bahrain,Bahrain,1.7,$73.8 ,-5.4,1.2,"$48,766",4.1,-2.3,"1,007.0",132.9
12,Bangladesh,Bangladesh,Asia-Pacific,137,29,52.7,36.3,28.1,22.2,82.6,93.2,54.0,55.6,36.6,70.0,63.8,50,40,10.6,Bangladesh ,25.0,32.5,7.7,Bangladesh,15.0,Bangladesh,Bangladesh,164.7,$874.0 ,3.8,6.8,"$5,307",5.3,5.6,"2,564.0",38.9
13,Barbados,Barbados,Americas,28,4,71.3,72.6,88.2,68.7,80.6,70.8,79.7,64.7,63.4,78.6,58.4,70,60,13.3,Barbados,28.5,5.5,33.1,Barbados,31.2,Barbados,Barbados,0.3,$3.9 ,-17.6,-3.1,"$13,553",12.8,2.9,262.0,149.0
14,Belarus,Belarus,Europe,135,45,53.0,34.5,15.5,43.7,93.3,56.7,95.3,54.5,46.8,70.2,75.6,30,20,4.7,Belarus,13.0,18.0,13.3,Belarus,38.0,Belarus,Belarus,9.4,$189.9 ,-0.9,0.7,"$20,187",5.3,5.5,"1,397.0",48.0
15,Belgium,Belgium,Europe,37,24,69.6,92.5,91.2,83.6,48.2,10.1,50.3,82.8,57.4,84.3,79.2,85,70,2.9,Belgium,50.0,29.0,42.9,Belgium,54.8,Belgium,Belgium,11.6,$588.8 ,-6.4,0.0,"$51,096",6.0,0.4,"8,437.0",115.0
16,Belize,Belize,Americas,109,22,56.6,34.7,70.2,38.1,77.0,64.1,37.6,54.0,59.9,82.5,55.6,55,50,17.2,Belize,25.0,25.0,32.4,Belize,34.6,Belize,Belize,0.4,$2.5 ,-14.1,-1.5,"$6,046",7.8,0.1,76.0,127.4
17,Benin,Benin,Sub-Saharan Africa,81,6,61.0,44.3,55.3,40.3,68.4,91.6,83.4,47.7,59.6,80.4,61.4,50,50,11.8,Benin,45.0,30.0,15.4,Benin,16.7,Benin,Benin,12.1,$41.7 ,2.0,4.9,"$3,437",2.5,3.0,176.0,45.4
18,Bhutan,Bhutan,Asia-Pacific,94,19,59.3,67.2,60.9,73.5,82.4,71.6,72.4,62.9,57.2,72.7,40.8,20,30,22.1,Bhutan,25.0,30.0,15.4,Bhutan,30.7,Bhutan,Bhutan,0.8,$9.0 ,-0.8,4.2,"$12,060",3.7,4.2,3.0,120.7
19,Bolivia,Bolivia,Americas,169,30,43.0,14.1,28.4,28.7,86.0,58.8,10.9,54.7,46.2,72.8,60.8,15,40,9.6,Bolivia,13.0,25.0,24.7,Bolivia,37.1,Bolivia,Bolivia,11.7,$97.8 ,-7.7,1.4,"$8,344",5.6,0.9,"-1,048.0",67.3
20,Bosnia and Herzegovina,BosniaHerzegovina,Europe,68,36,63.4,49.2,37.2,33.4,94.0,46.2,95.9,66.6,60.2,84.9,68.8,65,60,8.1,Bosnia and Herzegovina,10.0,10.0,20.1,Bosnia and Herzegovina,42.4,Bosnia and Herzegovina,Bosnia and Herzegovina,3.3,$49.3 ,-5.5,1.5,"$15,047",16.9,-0.6,371.0,38.3
21,Botswana,Botswana,Sub-Saharan Africa,61,3,64.8,74.2,70.1,61.4,87.4,59.8,19.2,56.7,61.6,75.4,77.2,65,70,6.4,Botswana,25.0,22.0,12.1,Botswana,36.6,Botswana,Botswana,2.4,$39.6 ,-8.3,1.3,"$16,893",17.7,2.0,80.0,20.0
22,Brazil,Brazil,Americas,133,26,53.3,50.3,57.2,40.0,69.9,53.8,0.4,63.2,55.9,78.4,60.0,60,50,10,Brazil,27.5,34.0,33.1,Brazil,39.2,Brazil,Brazil,212.6,"$3,153.6 ",-4.1,-0.6,"$14,916",13.7,3.2,"24,778.0",98.9
186,Brunei Darussalam,Brunei ,Asia-Pacific,62,9,64.8,67.0,51.6,61.1,90.8,68.1,20.0,72.4,75.0,72.3,84.6,65,50,0.2,Brunei,0.0,18.5,24.0,Brunei Darussalam,32.6,Brunei Darussalam,Brunei Darussalam,0.4,$28.7 ,1.2,0.8,"$62,371",8.4,1.9,577.0,2.9
23,Bulgaria,Bulgaria,Europe,29,20,71.0,77.3,61.1,45.6,93.9,60.5,96.2,72.1,64.4,81.9,79.2,60,60,2.9,Bulgaria,10.0,10.0,20.3,Bulgaria,36.3,Bulgaria,Bulgaria,6.9,$164.6 ,-3.8,2.1,"$23,817",5.7,1.2,"2,426.0",23.8
24,Burkina Faso,BurkinaFaso,Sub-Saharan Africa,100,13,58.3,47.0,36.3,41.4,81.8,82.3,66.1,41.9,61.6,75.6,61.0,65,40,9.5,Burkina Faso,27.5,28.0,16.8,Burkina Faso,24.3,Burkina Faso,Burkina Faso,20.9,$47.3 ,0.8,5.1,"$2,262",5.0,1.9,149.0,44.3
25,Burma,Burma,Asia-Pacific,149,32,49.6,23.1,16.7,29.8,87.2,86.8,67.2,41.7,49.6,73.9,69.4,30,20,5.3,Burma,25.0,25.0,5.9,Burma,21.0,Burma,Burma,54.4,$278.8 ,3.2,5.7,"$5,242",1.8,5.7,"1,834.0",39.3
26,Burundi,Burundi,Sub-Saharan Africa,172,45,39.4,18.8,7.1,12.2,77.1,76.4,10.3,27.5,41.5,70.3,51.0,50,30,14.5,Burundi,35.0,30.0,12.9,Burundi,28.1,Burundi,Burundi,11.9,$9.0 ,-1.3,0.4,$760,0.8,7.3,6.0,69.5
27,Cambodia,Cambodia,Asia-Pacific,106,21,57.1,41.2,20.9,12.3,88.7,81.5,98.0,55.2,47.8,74.7,64.8,50,50,10.1,Cambodia,20.0,20.0,18.2,Cambodia,24.8,Cambodia,Cambodia,16.7,$73.6 ,-3.5,5.0,"$4,695",0.3,2.9,"3,625.0",31.6
28,Cameroon,Cameroon,Sub-Saharan Africa,136,27,52.9,39.1,10.9,19.9,74.7,90.1,78.7,60.4,46.4,79.9,55.2,30,50,14.9,Cameroon,35.0,33.0,14.6,Cameroon,18.2,Cameroon,Cameroon,26.5,$96.8 ,-2.8,2.7,"$3,646",3.6,2.8,488.0,43.2
29,Canada,Canada,Americas,15,1,76.6,89.5,96.4,86.7,75.7,39.6,62.8,78.8,68.7,78.2,83.2,80,80,3.4,Canada,33.0,15.0,33.5,Canada,44.9,Canada,Canada,38.0,"$1,850.1 ",-5.4,0.6,"$48,720",9.5,0.7,"23,823.0",117.8
30,Cabo Verde,CaboVerde,Sub-Saharan Africa,49,2,66.7,66.1,77.4,60.9,77.5,68.1,48.3,59.8,52.4,84.4,66.0,80,60,12.0,Cabo Verde,35.0,24.0,21.2,CaboVerde,32.6,Cabo Verde,CABOVERDE,0.6,$3.6 ,-14.0,0.9,"$6,424",13.4,0.6,73.0,139.0
31,Central African Republic,CentralAfricanRepublic,Sub-Saharan Africa,168,43,45.7,7.1,12.3,18.3,65.3,88.1,95.2,26.5,39.5,75.3,46.2,45,30,16.9,Central African Republic,50.0,30.0,8.6,Central African Republic,19.9,Central African Republic,Central African Republic,4.8,$4.7 ,0.0,3.2,$979,4.3,2.3,35.0,44.9
32,Chad,Chad,Sub-Saharan Africa,146,34,49.8,28.9,13.6,13.1,44.6,92.7,96.3,28.2,54.5,74.2,52.0,60,40,14.0,Chad,60.0,45.0,13.3,Chad,15.6,Chad,Chad,16.4,$26.5 ,-0.9,-0.7,"$1,611",2.3,3.5,558.0,43.0
33,Chile,Chile,Americas,20,2,74.4,73.0,91.4,71.4,72.4,78.1,75.3,76.2,58.0,79.4,78.0,70,70,6.0,Chile,40.0,27.0,20.7,Chile,27.0,Chile,Chile,19.1,$454.7 ,-5.8,0.4,"$23,366",11.5,3.0,"8,386.0",32.5
34,China,China,Asia-Pacific,158,35,48.0,43.7,37.4,39.3,71.2,64.2,11.1,68.8,57.2,70.0,73.2,20,20,3.4,China,45.0,25.0,15.2,China,34.5,China,China,1402.1,"$24,142.8 ",2.3,5.7,"$17,192",5.0,2.4,"1,49,342.0",66.8
35,Colombia,Colombia,Americas,60,12,65.1,50.9,59.1,42.0,71.3,66.0,56.7,68.8,60.7,79.3,76.4,80,70,6.8,Colombia,39.0,31.0,19.7,Colombia,33.7,Colombia,Colombia,50.9,$728.8 ,-6.8,0.5,"$14,324",15.4,2.5,"7,690.0",62.8
36,Comoros,Comoros,Sub-Saharan Africa,143,33,50.4,28.9,21.2,20.1,63.0,88.5,96.2,48.3,55.5,81.5,27.0,45,30,26.5,Comoros,30.0,50.0,17.4,Comoros,19.5,Comoros,Comoros,0.9,$2.7 ,-0.5,2.5,"$3,048",8.4,1.1,9.0,26.8
37,"Congo, Democratic Republic of the Congo",DemcoraticRepublicCongo,Sub-Saharan Africa,160,40,47.6,14.8,13.2,11.8,74.4,95.7,97.4,28.3,54.0,63.7,68.0,30,20,8.5,"Congo, Dem. Rep.",40.0,30.0,7.5,"Congo, Democratic Republic of the Congo",11.9,"Congo, Democratic Republic of the Congo","Congo, Democratic Republic of the Congo",89.6,$100.5 ,-0.1,3.3,"$1,106",4.6,11.3,"1,647.0",15.2
38,"Congo, Republic of",RepublicCongo,Sub-Saharan Africa,155,37,48.5,30.4,14.9,13.4,82.4,86.0,80.0,29.5,43.3,80.5,56.4,35,30,11.8,"Congo, Republic of ",30.0,28.0,8.5,"Congo, Republic of",21.6,"Congo, Republic of","Congo, Republic of Congo",5.5,$19.6 ,-7.8,-6.0,"$4,188",10.3,2.4,"4,016.0",101.7
39,Costa Rica,CostaRica,Americas,55,10,65.4,66.4,78.4,63.1,79.2,86.6,10.9,66.0,56.6,83.1,74.6,70,50,5.2,Costa Rica ,25.0,30.0,23.6,Costa Rica,21.1,Costa Rica,Costa Rica,5.1,$102.5 ,-4.8,1.6,"$19,990",17.1,0.7,"1,711.0",68.3
40,Côte d'Ivoire,CoeDivoire,Sub-Saharan Africa,76,4,61.6,45.4,30.0,33.8,79.1,89.7,73.8,61.0,55.9,71.3,73.6,75,50,8.2,Côte d'Ivoire ,36.0,25.0,13.1,Côte d'Ivoire,18.6,Côte d'Ivoire,Côte d'Ivoire,26.4,$144.6 ,2.3,6.0,"$5,365",3.5,2.5,509.0,45.7
41,Croatia,Croatia,Europe,45,27,67.6,81.1,69.9,50.0,82.8,26.3,75.2,72.4,58.7,80.5,79.2,75,60,2.9,Croatia,30.0,18.0,22.2,Croatia,49.6,Croatia,Croatia,4.0,$112.1 ,-9.0,0.7,"$27,717",7.2,0.3,"1,304.0",87.2
42,Cuba,Cuba,Americas,175,31,29.5,31.5,15.6,39.9,48.4,0.0,11.4,41.1,20.0,61.8,64.0,10,10,8.0,Cuba,50.0,30.0,42.0,Cuba,65.9,Cuba,Cuba,11.3,$142.6 ,-11.0,-1.4,"$12,600",3.9,n/a,n/a,69.4
43,Cyprus,Cyprus,Europe,23,16,72.9,85.6,90.9,62.9,80.3,44.3,71.2,74.9,66.4,83.9,79.2,75,60,2.9,Cyprus,35.0,12.5,24.2,Cyprus,43.1,Cyprus,Cyprus,1.2,$35.5 ,-5.1,3.0,"$40,107",7.2,-1.1,"-3,647.0",118.2
44,Czech Republic,CzechRepublic,Europe,21,14,74.4,88.8,81.8,59.6,78.9,44.7,93.2,80.6,56.5,79.0,79.2,70,80,2.9,Czech Republic,23.0,19.0,34.9,Czech Republic,42.9,Czech Republic,Czech Republic,10.7,$434.4 ,-5.6,1.5,"$40,618",2.9,3.2,"6,293.0",37.6
45,Denmark,Denmark,Europe,10,7,78.0,98.6,89.6,99.5,42.3,21.1,96.2,89.0,64.4,85.7,79.2,90,80,2.9,Denmark,56.0,22.0,46.3,Denmark,51.3,Denmark,Denmark,5.8,$343.2 ,-3.3,1.6,"$58,933",5.7,0.3,"1,151.0",43.4
